G,Name,U+,Style,Tags
,forward,e205,,
,forward-4,e200,,
,forward-end,e204,,
,forward-end-2,e201,,
,forward-end-4,e203,,
,forward-end-4-2,e202,,
,function,e206,,
,funnel,e208,,
,funnel-4,e207,,
,fx,e209,,
,gamecontroller,e20c,,
,gamecontroller-2,e20a,,
,gamecontroller-4,e20b,,
,gauge,e20f,,
,gauge-badge-minus,e20d,,
,gauge-badge-plus,e20e,,
,gea-2,e210,,
,gear,e212,,
,gear-3,e211,,
,gift,e218,,
,gift-2,e213,,
,gift-3,e214,,
,gift-4,e215,,
,giftcard,e217,,
,giftcard-4,e216,,
,globe,e219,,
,gobackward,e222,,
,gobackward-10,e21a,,
,gobackward-15,e21b,,
,gobackward-30,e21c,,
,gobackward-45,e21d,,
,gobackward-60,e21e,,
,gobackward-75,e21f,,
,gobackward-90,e220,,
,gobackward-minus,e221,,
,goforward,e22b,,
,goforward-10,e223,,
,goforward-15,e224,,
,goforward-30,e225,,
,goforward-45,e226,,
,goforward-60,e227,,
,goforward-75,e228,,
,goforward-90,e229,,
,goforward-plus,e22a,,
,graph,e22f,,
,graph-2,e22c,,
,graph-3,e22d,,
,graph-4,e22e,,
,greaterthan,e234,,
,greaterthan-2,e230,,
,greaterthan-3,e231,,
,greaterthan-4,e232,,
,greaterthan-5,e233,,
,grid,e237,,
,grid-2,e235,,
,grid-4,e236,,
,guitars,e238,,
,hammer,e23a,,
,hammer-4,e239,,
,hand-draw,e23c,,
,hand-draw-4,e23b,,
,hand-point-left,e23e,,
,hand-point-left-4,e23d,,
,hand-point-right,e240,,
,hand-point-right-4,e23f,,
,hand-raised,e244,,
,hand-raised-4,e241,,
,hand-raised-slash,e243,,
,hand-raised-slash-4,e242,,
,hand-thumbsdown,e246,,
,hand-thumbsdown-4,e245,,
,hand-thumbsup,e248,,
,hand-thumbsup-4,e247,,
,hare,e24a,,
,hare-4,e249,,
,headphones,e24b,,
,heart,e251,,
,heart-2,e24c,,
,heart-4,e24d,,
,heart-slash,e250,,
,heart-slash-2,e24e,,
,heart-slash-4,e24f,,
,helm,e252,,
,hexagon,e254,,
,hexagon-4,e253,,
,hifispeaker,e256,,
,hifispeaker-4,e255,,
,hourglass,e258,,
,hourglass-bottomhalf,e257,,
,hourglass-tophalf,e259,,
,house,e25d,,
,house-2,e25a,,
,house-4,e25c,,
,house-4-2,e25b,,
,hurricane,e25e,,
,increase-indent,e25f,,
,increase-quotelevel,e260,,
,infinite,e261,,
,info,e264,,
,info-2,e262,,
,info-4,e263,,
,italic,e265,,
,keyboard,e267,,
,keyboard-chevron-compact-down,e266,,
,largecircle-2,e268,,
,lasso,e269,,
